,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,83.53,76,100,16.64,overcast clouds
1,Geraldton,AU,-28.7667,114.6,61.21,88,100,4.61,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,35,4.0,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,13.8,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.87,70,3,15.66,clear sky
5,Bethel,US,41.3712,-73.414,70.65,18,75,8.05,broken clouds
6,Henties Bay,NA,-22.116,14.2845,61.61,73,4,5.84,clear sky
7,Verkhneyarkeyevo,RU,55.4505,54.3145,48.25,94,94,7.9,overcast clouds
8,Terney,RU,45.0503,136.6092,56.43,51,91,4.94,overcast clouds
9,Mugumu,TZ,-1.85,34.7,61.16,93,56,2.77,broken clouds
10,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,11,6.91,few clouds
11,Vaini,TO,-21.2,-175.2,80.76,61,20,8.05,few clouds
12,Port Hardy,CA,50.6996,-127.4199,50.18,81,75,4.61,light intensity shower rain
13,Yarada,IN,17.65,83.2667,80.92,94,100,11.5,light intensity drizzle
14,Mataura,NZ,-46.1927,168.8643,52.48,69,14,3.0,few clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,40,11.5,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,40.66,75,0,5.75,clear sky
17,Hobart,AU,-42.8794,147.3294,51.06,81,0,6.91,clear sky
18,Nyurba,RU,63.2842,118.3319,36.63,76,37,5.06,scattered clouds
19,Victoria,HK,22.2855,114.1577,78.85,95,89,8.99,light rain
20,Butaritari,KI,3.0707,172.7902,81.27,72,21,14.58,few clouds
21,Negru Voda,RO,43.8167,28.2,52.32,64,36,5.14,scattered clouds
22,Bluff,NZ,-46.6,168.3333,52.81,77,19,12.59,few clouds
23,Faanui,PF,-16.4833,-151.75,82.27,73,17,17.11,light rain
24,Hornepayne,CA,49.2138,-84.7705,67.84,42,45,8.59,scattered clouds
25,Qaanaaq,GL,77.484,-69.3632,16.74,70,1,4.45,clear sky
26,Bourail,NC,-21.5667,165.4833,76.41,59,61,7.02,broken clouds
27,Sakakah,SA,29.9697,40.2064,67.57,17,0,6.02,clear sky
28,Port Alfred,ZA,-33.5906,26.891,68.38,44,99,11.34,overcast clouds
29,Vicar,ES,36.8316,-2.6427,65.21,56,33,5.26,scattered clouds
30,Port Elizabeth,ZA,-33.918,25.5701,64.69,93,0,21.85,clear sky
31,Kachug,RU,53.9606,105.8817,34.45,60,39,6.35,scattered clouds
32,Albanel,CA,48.8832,-72.4487,75.34,20,50,12.66,scattered clouds
33,Jamestown,US,42.097,-79.2353,76.64,12,0,0.0,clear sky
34,Narsaq,GL,60.9167,-46.05,44.82,86,61,5.93,broken clouds
35,Kahului,US,20.8947,-156.47,84.22,60,40,25.32,scattered clouds
36,Souillac,MU,-20.5167,57.5167,71.98,100,20,5.75,few clouds
37,Arcachon,FR,44.5875,-1.0519,59.41,94,100,8.05,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,24.96,90,98,8.72,overcast clouds
39,Saldanha,ZA,-33.0117,17.9442,55.45,94,76,6.26,broken clouds
40,Busselton,AU,-33.65,115.3333,60.49,82,89,1.12,overcast clouds
41,Touros,BR,-5.1989,-35.4608,77.41,81,100,8.46,overcast clouds
42,Albany,US,42.6001,-73.9662,72.01,53,0,6.42,clear sky
43,Kunzelsau,DE,49.2819,9.6889,63.48,77,75,3.44,broken clouds
44,Aksu,CN,41.1231,80.2644,72.86,22,72,3.78,broken clouds
45,Hasaki,JP,35.7333,140.8333,63.28,83,100,9.89,overcast clouds
46,Malindi,KE,-3.2175,40.1191,80.29,81,10,16.37,light rain
47,Thompson,CA,55.7435,-97.8558,60.96,44,100,6.91,overcast clouds
48,Kapaa,US,22.0752,-159.319,80.92,74,75,14.97,broken clouds
49,Mar Del Plata,AR,-38.0023,-57.5575,54.88,78,75,11.5,broken clouds
